id,macid,stud_enrollment,punch_time,status
1,MAC001,220301,2025-12-30 06:18:59,success
2,MAC002,220302,2025-12-30 06:19:59,success
3,MAC003,220303,2025-12-30 06:20:59,failed
4,MAC004,220304,2025-12-30 06:21:59,success
5,MAC005,220305,2025-12-30 06:22:59,success
6,MAC006,220306,2025-12-30 06:23:59,failed
7,MAC007,220307,2025-12-30 06:24:59,success
8,MAC008,220308,2025-12-30 06:25:59,success
9,MAC009,220309,2025-12-30 06:26:59,failed
10,MAC010,220310,2025-12-30 06:27:59,success
11,MAC011,220311,2025-12-30 06:28:59,success
12,MAC012,220312,2025-12-30 06:29:59,failed
13,MAC013,220313,2025-12-30 06:30:59,success
14,MAC014,220314,2025-12-30 06:31:59,success
15,MAC015,220315,2025-12-30 06:32:59,failed
16,MAC016,220316,2025-12-30 06:33:59,success
17,MAC017,220317,2025-12-30 06:34:59,success
18,MAC018,220318,2025-12-30 06:35:59,failed
19,MAC019,220319,2025-12-30 06:36:59,success
20,MAC020,220320,2025-12-30 06:37:59,success
21,MAC021,220321,2025-12-30 06:38:59,failed
22,MAC022,220322,2025-12-30 06:39:59,success
23,MAC023,220323,2025-12-30 06:40:59,success
24,MAC024,220324,2025-12-30 06:41:59,failed
25,MAC025,220325,2025-12-30 06:42:59,success
26,MAC026,220326,2025-12-30 06:43:59,success
27,MAC027,220327,2025-12-30 06:44:59,failed
28,MAC028,220328,2025-12-30 06:45:59,success
29,MAC029,220329,2025-12-30 06:46:59,success
30,MAC030,220330,2025-12-30 06:47:59,failed
31,MAC031,220331,2025-12-30 06:48:59,success
32,MAC032,220332,2025-12-30 06:49:59,success
33,MAC033,220333,2025-12-30 06:50:59,failed
34,MAC034,220334,2025-12-30 06:51:59,success
35,MAC035,220335,2025-12-30 06:52:59,success
36,MAC036,220336,2025-12-30 06:53:59,failed
37,MAC037,220337,2025-12-30 06:54:59,success
38,MAC038,220338,2025-12-30 06:55:59,success
39,MAC039,220339,2025-12-30 06:56:59,failed
40,MAC040,220340,2025-12-30 06:57:59,success
41,MAC041,220341,2025-12-30 06:58:59,success
42,MAC042,220342,2025-12-30 06:59:59,failed
43,MAC043,220343,2025-12-30 07:00:59,success
44,MAC044,220344,2025-12-30 07:01:59,success
45,MAC045,220345,2025-12-30 07:02:59,failed
46,MAC046,220346,2025-12-30 07:03:59,success
47,MAC047,220347,2025-12-30 07:04:59,success
48,MAC048,220348,2025-12-30 07:05:59,failed
49,MAC049,220349,2025-12-30 07:06:59,success
50,MAC050,220350,2025-12-30 07:07:59,success
51,MAC051,220351,2025-12-30 07:08:59,failed
52,MAC052,220352,2025-12-30 07:09:59,success
53,MAC053,220353,2025-12-30 07:10:59,success
54,MAC054,220354,2025-12-30 07:11:59,failed
55,MAC055,220355,2025-12-30 07:12:59,success
56,MAC056,220356,2025-12-30 07:13:59,success
57,MAC057,220357,2025-12-30 07:14:59,failed
58,MAC058,220358,2025-12-30 07:15:59,success
59,MAC059,220359,2025-12-30 07:16:59,success
60,MAC060,220360,2025-12-30 07:17:59,failed
